/ Sources: Phobias v2.0 November 1991, Acumen Software by: Adrian B. Danieli

.Phobia             Description
gynephobia          fear or hatred of women
hagiophobia         fear of holy objects, holy people, and saints
hamartophobia       fear of error or sin
haphephobia         fear of being touched
harpaxophobia       fear of robbers
hedonophobia        fear of pleasure
heliophobia         fear of sunlight
helminthophobia     fear of becoming infested with worms
hematophobia        fear of blood
herpetophobia       fear of reptiles and amphibians
hierophobia         fear of sacred objects
hippophobia         fear of horses
hodophobia          fear of travel
homichlophobia      fear of fog
homilophobia        fear of sermons
hormephobia         fear of shock
hyalophobia         fear of glass
hydrophobia         fear of water; fear of rabies
hygrophobia         fear of liquids, especially wine or water
hylophobia          fear of wood/forests
hypengyophobia      fear of responsibility
hypnophobia         fear of sleep
hypsipphobia        fear of high places
iatrophobia         fear of going to the doctor
ichthyophobia       fear of fish
iophobia            fear of poisons
kakorrhaphiophobia  fear of failure or defeat
katagelophobia      fear of ridicule
kathisophobia       fear of sitting down
kenophobia          fear of empty rooms
keraunophobia       fear of thunder and lightning
kinesophobia        fear of motion
kleptophobia        fear of thieves
kopophobia          fear of mental or physical examination
laliophobia         fear of speaking
leprophobia         fear of leprosy
levophobia          fear of objects on the left side of the body
limnophobia         fear of lakes
linonophobia        fear of string
logophobia          fear of words
lyssophobia         fear of going insane
maieusiophobia      fear of pregnancy
mastigophobia       fear of flogging
mechanophobia       fear of machinery
melissophobia       fear of bees
merinthophobia      fear of being bound
metallophobia       fear of metals
meteorophobia       fear of meteors and meteorites
microphobia         fear of germs
misophobia          fear of being contaminated by dirt
molysomophobia      fear of infection
monopathophobia     fear of sickness in a specific part of the body
monophobia          fear of one thing or of being alone
musicophobia        fear of music
musophobia          fear of mice
mysophobia          fear of infection
mythophobia         fear of making false statements
nebulaphobia        fear of clouds
necrophobia         fear of corpses and the dead
neophobia           fear of newness, novelty
noctiphobia         fear of the night
nomatophobia        fear of names
nosemaphobia        fear of illness
nosophobia          fear of contracting disease
nudophobia          fear of nakedness
nyctophobia         fear of darkness or the night
ochlophobia         fear of crowds
ochophobia          fear of vehicles
odontophobia        fear of teeth, especially the teeth of animals
odynophobia         fear of pain
oenophobia          fear of wine
oikophobia          fear of home surroundings
olfactophobia       fear of smells
ombrophobia         fear of rain
ommatophobia        fear of eyes
oneirophobia        fear of dreams
onomatophobia       fear of hearing a specific name, word, or phrase
ophidiophobia       fear of snakes
optophobia          fear of opening one's eyes
ornithophobia       fear of birds
osmophobia          fear of odors
osphresiophobia     fear of body odors
ouranophobia        fear of heaven
paedophobia         fear of children or dolls
paralipopphobia     fear of neglect of some duty
parasitophobia      fear of parasites
parthenophobia      fear of virgins or young women
pathophobia         fear of diseases and germs
patroiophobia       fear of heredity
peccatiphobia       fear of sinning
pediculophobia      fear of lice
peniaphobia         fear of poverty
phagophobia         fear of eating or swallowing
pharmacophobia      fear of drugs or medicines
phasmophobia        fear of ghosts
phengophobia        fear of daylight
philosophobia       fear of philosophy or philosophers
phonophobia         fear of noise
photangiophobia     fear of eye pain caused by light
photophobia         fear of light
phtririophobia      fear of parasites
placophobia         fear of tombstones
pnigerophobia       fear of smothering
pnigophobia         fear of choking
pogonophobia        fear of beards
politicophobia      fear or dislike of politicians
ponophobia          fear of fatigue, especially from overworking
porphyrophobia      fear of the color purple
potamophobia        fear of rivers and running water
potophobia          fear of drinking
proteinphobia       fear of protein foods
psychophobia        fear of the mind
psychrophobia       fear of cold temperatures
pterononphobia      fear of feathers
pyrexiophobia       fear of fever
pyrophobia          fear of fire
rhabdophobia        fear of being beaten
rhypophobia         fear of filth
scabiophobia        fear of scabies; fear of itching
scatophobia         fear of excrement; fear of using obscene language
sciaphobia          fear of shadows
scoleciphobia       fear of worms
scopophobia         fear of being looked at
scotophobia         fear of the dark
selaphobia          fear of flashes
selenophobia        fear of the moon
siderophobia        fear of the stars
sitophobia          fear of food
spheksophobia       fear of wasps
sprectrophobia      fear of specters or phantoms
stenophobia         fear of narrow spaces
taphephobia         fear of being buried alive; fear of graves
tapinophobia        fear of small things
teratophobia        fear of monsters or giving birth to a monster
thaasophobia        fear of boredom
thalassophobia      fear of the sea
thantophobia        fear of death
theatrophobia       fear of theaters
thermophobia        fear of heat
tocophobia          fear of childbirth
tomophobia          fear of surgical operations
tonitrophobia       fear of thunder
topophobia          fear of performing; of certain places/situations
toxicophobia        fear of poisoning
traumatophobia      fear of war or physical injury
triskaidekaphobia - fear of the number thirteen
vermiphobia         fear of worms
xenophobia          fear of strangers of foreigners
xylophobia          fear of the forest
zelophobia          fear of jealousy
zoophobia           fear of animals
