/ http://dndtools.eu/feats/

.Feat; Description
Bind Vestige; You know how to make pacts with otherworldly spirits called vestiges.
Binding Brand; You carry the brand of the binding flame, marking you as a warrior of the Ghaash'kala clans.
Black Dragon Lineage ; You have attuned yourself to your black dragon ancestry and can poison foes with your touch.
Black Lore of Moil; Your study of the sinister knowledge and spellcasting techniques of the long-dead Nightlords of Moil makes your necromancy spells especially potent.
Blackwater Invocation; You can call upon negative energy to infuse normal water around you, transforming it into the dark, cold water found at the bottom of deepest ocean trenches. This feat is favored by the clerics of wicked sea gods and the masters of the deep pelagic abysses.
Blade Meditation; You have learned a meditation that grants you insight into the martial disciplines you have studied.
Blade of Force; You can surround a weapon with a short-lived aura of force.
Bladebearer of Valenar; You have trained extensively with scimitars, including the Valenar double scimitar. You are adept at striking from horseback with the curved blades of the Valenar.
Bladebearer of the Valenar; You have trained extensively with scimitars, including the Valenar double scimitar. You are adept at striking from horseback with the curved blades of the Valenar.
Bladebearer of the Valenar; Your extensive training makes you especially adept with the curved blades of the Valenar.
Bladeproof skin; Your skin has a degree of protection from even the sharpest edge.
Blazing Berserker; When you enter your rage, your body becomes infused with fi re.
Blend Into Shadows; You can draw from nearby magical shadow to cloak yourself in darkness.
Blessed by Tem-Et-Nu; Tem-Et-Nu has marked you as having an important destiny in her temple.
Blessed of Vulkoor ; A Scorpion-shaped Birthmark denotes you as one of ihe chosen of Vulkoor.
Blessed of the Seven Sisters; As a result of a personal connection to one of the Seven Sisters, you have a taste of Mystra's special favor.
Blessing of the Godless; You invoke the dreadful power of darkness and evil to fill your allies with terrible power.
Blind-Fight; You know how to fight in melee without being able to see your foes.
Blinding Speed; You can trigger short bursts of great speed.
Blindsense; You can sense creatures that you cannot see.
Blindsight, 5-foot Radius; You sense opponents in the darkness.
Blindsight, 5-ft. Radius; The deity senses opponents in the darkness.
Blindsight; Your senses are as keen as the bat's.
Blistering Spell; Your fire spells sear the flesh from your enemies' bones, leaving them wracked with pain.
Block Arrow; You can block incoming arrows with your shield.
Blood Calls to Blood; Exploring the latent potential in your blood due to your fiendish descent, you learn how to better adapt to the mystical attacks of your forebears.
Blood Sorcerer; You are descended from Yogo, the Scorpion shugenja who was the first guardian of the Black Scrolls of Fu Leng.
Blood War Conscript ; Your evil brand indicates your rank in the armies of the Blood War and infuses you with fury.
Blood of the Warlord; You can influence a large number of orcs.
Blood-Spiked Charger; You throw yourself into the fray, using your spiked armor and spiked shield to tear your opponents to pieces.
Blooded; You know what it means to fi ght for your life, and you understand the value of quick wits and quicker reactions when blades are bared and deadly spells are chanted.
Blooded; You know what it means to fight for your life, and the value of quick wits and quicker reactions when blades are bared and deadly spells chanted. Enemies find it difficult to catch you off guard. Regions: Dalelamls, Nelautticr Isles, Sembia, Silveryntoon, Tethyr, Vaasa, 
Bloodline of fire; You arc descended from the efreet who ruled Caiimshan for two millennia. The blood of these fire-spirits runs thick in your veins. REGION: Caiimshan.
Bloodline of fire; You are descended from the efreet who ruled Calimshan long ago. The blood of these fire spirits runs thick in your veins.
Bloodsoaked Intimidate; Your bloody and vicious approach to combat makes you a fearsome foe.
Blowhard; You can blow targets over with your breath.
Blue Dragon Lineage ; You have learned to harness the powers of your blue dragon ancestry and can hurl orbs of lightning.
Boar's Ferocity; You can continue fighting even at the brink of death.
Body Fuel; You can expand your power point total at the expense of your health.
Body Pouch; You can open a cavity in your body without harm to yourself and use it to carry or conceal items or creatures.
Bolster Resistance; Undead you raise or create are more resistant to turning than normal.
Bonded Familiar; You enjoy a stronger than normal magical bond with your familiar, granting you access to two special abilities.
Bonus Breath; You can use your breath weapon one more time per day than you normally could.
Bonus Domain; You have access to one additional domain of spells.
Bonus Essentia; You are better able to harness your personal store of incarnum.
Bonus Soulmeld; You gain newfound meldshaping ability.
Boomerang Daze; You can daze the targets of your boomerang attacks.
Boomerang Ricochet; You can strike up to two foes with a single boomerang throw.
Boost Construct; Your astral constructs have more abilities.
Boost Spell Resistance; By making a deal with an evil power, the character makes himself even more resistant to magic.
Boost Spell-Like Ability; One of the creature's spell-like abilities is harder to resist than it otherwise would be.
Born Duelist; You claim descent from Mirumoto, one of the first two samurai to join Togashi in his meditative retreat.
Born Flyer; You can fly as though born to do it.
Born of the Three Thunders; You have learned to marry the power of lightning and thunder in your electricity and sonic spells.
Borne Aloft; You can channel the magic of the winds to briefly grant you flight.
Bounding Assault; You can move and attack with superior speed and power.
Bowslinger; You can ready ranged weapons surprisingly quickly.
Braced for Charge; When receiving a charge, you know how to strike where it truly hurts.
Brachiation; You can swing through trees like a monkey.
Brachiation; You move through trees like a monkey.
Brand of the Nine Hells; You gain an infernal brand, a symbol proclaiming you as the property of an archdevil. This brand might be a physical symbol, or it could be a strange change in your body's structure.
Brass Dragon Lineage ; You have unlocked the power of your brass dragon ancestry and can put foes to sleep with ease.
Brawler; You naturally move close to your opponents when fighting, instinctively grabbing and punching rather than striking with weapons.
Breadth of Knowledge; Your time spent plumbing the depths of magic knowledge has resulted in a treasure trove of obscure facts.
Breath Control; You have mastered your body's need for air.
Breath of Siberys; Your breath weapon becomes even more deadly.
Breath of Unlife; Your breath weapon contains the chill of undeath.
Breathing Link; You can allow a person adjacent to you to breathe water.
Brew Potion; You can create potions, which carry spells within themselves. See the Dungeon Master's Guide for rules on potions.
Bright Sigil; You have established a greater degree of control over your sigils. When you concentrate, you can emit strong illumination from the glowing symbols that surround your head.
Broken One's Sacrifice; Your dedication to Ilmater's philosophy has given you the power to take attacks directed at others.
Bronze Dragon Lineage ; channel arcane energy to repel foes.
Brutal Strike; You can batter foes senseless with your mace, morningstar, quarterstaff, or fl ail. Few victims are willing to stand toeto- toe with a warrior known for knocking his foes witless with a single strike.
Brutal Throw; You have learned how to hurl weapons to deadly effect.
Brute Fighting; Your extensive training with two-handed weapons is revealed through brutally effective tactics.
Bullheaded; The stubbornness and determination of your kind are legendary. You are exceptionally headstrong and diffi cult to sway from your course.
Bullheaded; The stubbornness and determination of your kind is legendary. You are exceptionally headstrong and difficult to sway from your intended course. Regions: Damara, Dragon Coast, the Great Dale, Moonshaes, Narfell, Nelanther Isles, Rashemen, Vaasa, Western Heartlands, gold dwarf, gray dwarf, shield dwarf.
Bulwark of Defense; 
Burrow friend; Your natural rapport with burrowing mammals improves.
Burrowing Power; Your powers sometimes bypass barriers.
Business Savvy; You are particularly gifted when it comes to setting up and maintaining profitable businesses.
Calishite Elementalist: Air; You are a student of the Calishite tradition of elemental magic and have mastered its mysterious lore. You may choose to specialize in air magic or fire magic.
Calishite Elementalist: Fire; You are a student of the Calishite tradition of elemental magic and have mastered its mysterious lore. You may choose to specialize in air magic or fire magic.
Call of the Undying; You call upon the power of the Undying Court to instantly recall a previously cast spell.
Cannith Forgecraft; You have a gift for repairing warforged and other constructs.
Captivating Melody ; You can expend some of your musical abilities to increase the potency of your enchantment or illusion spells.
Caravanner; You are skilled at leading caravans along established trade routes. Regions: Cormyr, Dalelands, Sembia, Thesk, Western Heartlands 
Carmendine Monk; You have learned that study is just as important as insight to finding enlightenment.
Catfolk Pounce; You can rush unaware foes and deliver several attacks before they have a chance to respond.
Caustic Adaptation; Long have your ancestors hunted and been hunted in the depths. Natural selection has given your blood an unpalatable, acidic quality.
Cautious Attack; When you take your time in combat, you quickly assess the flow of battle to respond rapidly to threats.
Cautious; You are cautious in combat, even a bit cowardly, and you take more care to defend yourself than others. However, this caution renders you susceptible to fear effects.
Cavalry Charger; Fighting from the back of a steed is second nature to you.
Caver; The Underdark's cave systems stretch for thousands of miles below the surface. You are knowledgeable about the secrets of the subterranean world and wise in its ways.
Celestial Bloodline; One of your distant ancestors was a good outsider. The characteristics you display might depend in part on the kind of celestial heritage you have.
Celestial Bloodline; Some of your latent celestial abilities have matured.
Celestial Familiar; As long as you are able to acquire a new familiar, you may receive a celestial as a familiar.
Celestial Heritage; You are descended from creatures native to the Upper Planes. You share some of your ancestors' natural resistance to disease, and you are resistant to the magic of evil foes.
Celestial Light; You gain the ability to produce light
Celestial Mount; Your special mount is a true creature of the heavens.
Celestial Sorcerer Aura; The power of your sorcerous heritage shines through, allowing you to infuse the area around you with a menacing aura.
Celestial Sorcerer Heritage; Your ancestry manifests in the form of several special abilities. You gain access to abilities similar to those of an archon.
Celestial Sorcerer Lance; You can channel your arcane energy into a bolt of power that is baneful to evil creatures.
Celestial Sorcerer Lore; The power of your ancestry grants you access to a variety of new spells.
Celestial Sorcerer Wings; You channel your inborn magical abilities to spawn a pair of spectral, magical wings that glow with majestic power.
Celestial Summoning Specialist; You can select from a larger number of options when summoning good creatures.
Centaur Trample; You have trained to use your large body and unique physiology against your foes. Much like a humanoid knight mounted on a warhorse, you have learned how to knock down opponents and ride over them in combat.
Ceremonial Empowerment; Your divine might increases on your patron's holy days.
Cerulean Fortitude; You can use incarnum to boost your ability to resist effects that would adversely affect your health.
Cerulean Reflexes; You can use incarnum to boost your ability to avoid harm.
Cerulean Will; You can use incarnum to boost your willpower.
Chain Power; You can manifest powers that arc to hit other targets in addition to the primary target.
Chain Spell; You can cast spells that arc to other targets in addition to the primary target.
Chakram Ricochet; You can hurl a chakram so that it strikes two enemies instead of one.
Chameleon Hide; You can alter the hue of your scales to match the surrounding terrain.
Channel Charge; You can power a charged magic item with your own magical ability.
Channel Legacy; You can call upon the hidden strength within your legacy item to empower yourself for a single spectacular effort.
Channeled Rage; You can focus your rage to counter charms and compulsions.
Chant of Fortitude; You can channel the power of your bardic music to sustain your allies, allowing them to function even after receiving wounds that would cause others to falter.
Chant of the Long Road ; You can channel the power of your bardic music to encourage your allies to pick up the pace on a long walk.
Chaos Devotion; The forces of chaos assist you in combat.
Chaotic Mind; The turbulence of your thoughts prevents others from gaining insight into your actions.
Chaotic Rage; Your rage is particularly damaging to lawful creatures.
Chaotic Spell Recall ; A few choice spells never stray far from your mind.
Chariot Archery; You are skilled at using ranged weapons from a chariot.
Chariot Charge; You are skilled at charging with you chariot.
Chariot Combat; You are skilled in chariot combat.
Chariot Sideswipe; You are skilled at using your chariot's scythe blades against foes.
Chariot Trample; You are trained in using your chariot to knock down opponents.
Charlatan; You're adept at fooling people. You know how to tell them just what they want to hear.
