/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Amanuensis; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Amanuensis; Transmutation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Amber Sarcophagus; Evocation; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Ambient Song; Illusion; yes; yes; yes; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Amorphous Form; Transmutation; no; yes; yes; no; yes; no; Underdark; Forgotten Realms (3.5); 
Amorphous Form; Transmutation; no; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Amplify; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Amplify; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Analyze Dweomer; Divination; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Analyze Portal; Divination; yes; yes; yes; no; no; no; Expedition to Undermountain; Forgotten Realms (3.5); 
Analyze Portal; Divination; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Analyze Portal; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Analyze Portal; Divination; yes; yes; yes; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Analyze Portal; Divination; yes; yes; yes; no; no; no; Manual of the Planes; Supplementals (3.0); 
Analyze Touchstone; Divination; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Anarchic Storm; Conjuration; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Anarchic Storm; Conjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Anarchic Water; Transmutation; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Anarchic Water; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Anathema; Enchantment; yes; yes; no; yes; yes; no; Champions of Ruin; Forgotten Realms (3.5); 
Ancestral Vengeance; Conjuration; yes; yes; no; no; yes; no; Oriental Adventures; Oriental Adventures (3.0); 
Ancient Knowledge; Divination; yes; yes; no; no; no; no; Magic of Eberron; Eberron (3.5); 
Ancient Mountain Hammer; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Angelskin; Abjuration; yes; yes; no; no; yes; no; Miniatures Handbook; Supplementals (3.5); 
Angelskin; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Anger of the Noonday Sun; Evocation; yes; yes; no; no; no; no; Complete Divine; Supplementals (3.5); 
Anger of the Noonday Sun; Evocation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Angry Ache; Necromancy; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Animal Friendship; Enchantment; yes; yes; yes; no; no; no; Player's Handbook 3.0; Core (3.0); 
Animal Growth; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animal Messenger; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animal Reduction; Transmutation; yes; yes; no; no; no; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Animal Shapes; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Animal Spirit; Divination; yes; yes; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Animal Spirit, Mass; Divination; no; no; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Animal Trance; Enchantment; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animal Trick; Transmutation; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Animalistic Power; Transmutation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Animalistic Power, Mass; Transmutation; no; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Animate Breath; Transmutation; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Animate Breath; Transmutation; no; yes; no; no; no; no; Draconomicon; Supplementals (3.5); 
Animate City; Transmutation; yes; yes; no; no; yes; no; Races of Destiny; Supplementals (3.5); 
Animate Dead; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animate Dread Warrior; Necromancy; yes; yes; yes; no; no; yes; Unapproachable East; Forgotten Realms (3.5); 
Animate Fire; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Animate Fire; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Animate Fire; Transmutation; no; no; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Animate Instrument; Transmutation; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Animate Legion; Necromancy; yes; yes; yes; no; no; no; Heroes of Battle; Supplementals (3.5); 
Animate Objects; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animate Plants; Transmutation; yes; no; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animate Rope; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Animate Siege Weapon; Transmutation; yes; yes; no; no; no; no; Heroes of Battle; Supplementals (3.5); 
Animate Snow; Transmutation; yes; yes; yes; no; no; no; Frostburn; Supplementals (3.5); 
Animate Snow; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Animate Water; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Animate Water; Transmutation; no; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Animate Water; Transmutation; no; no; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Animate Weapon; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Animate With the Spirit; Conjuration; yes; yes; no; no; yes; no; Champions of Valor; Forgotten Realms (3.5); 
Animate Wood; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Animate Wood; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Animate Wood; Transmutation; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Anti-ectoplasm Shell; Abjuration; yes; yes; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Anticipate Teleportation; Abjuration; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Anticipate Teleportation; Abjuration; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Anticipate Teleportation, Greater; Abjuration; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Anticipate Teleportation, Greater; Abjuration; no; no; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Anticold Sphere; Abjuration; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Anticold Sphere; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Antidragon Aura; Abjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Antidragon Aura; Abjuration; yes; yes; yes; no; yes; no; Draconomicon; Supplementals (3.5); 
Antidragon Aura, Greater; Abjuration; yes; yes; no; yes; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Antifire Sphere; Abjuration; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Antilife Shell; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Antimagic Aura; Abjuration; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Antimagic Field; Abjuration; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Antimagic Ray; Abjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Antimagic Ray; Abjuration; yes; yes; yes; no; no; no; Draconomicon; Supplementals (3.5); 
Antipathy; Enchantment; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Antiplant Shell; Abjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Anyspell; Transmutation; yes; yes; yes; yes; yes; yes; Spell Compendium; Supplementals (3.5); 
Anyspell; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Anyspell, Greater; Transmutation; no; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Anyspell, Greater; Transmutation; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Apocalypse from the Sky; Conjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Apparition; Illusion; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Apparition; Illusion; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Appraising Touch; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aquatic Escape; Transmutation; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Arboreal Transformation; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Arc of Lightning; Conjuration; yes; yes; yes; no; yes; no; Complete Arcane; Supplementals (3.5); 
Arc of Lightning; Conjuration; yes; yes; yes; no; yes; no; Miniatures Handbook; Supplementals (3.5); 
Arc of Lightning; Conjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Arcane Eye; Divination; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Arcane Fusion; Universal; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Arcane Fusion, Greater; Universal; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Arcane Lock; Abjuration; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Arcane Mark; Universal; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Arcane Maul; Evocation; yes; yes; yes; no; no; no; Secrets of Sarlona; Eberron (3.5); 
Arcane Seal; Abjuration; yes; yes; no; yes; no; no; Sharn: City of Towers; Eberron (3.5); 
Arcane Sensitivity; Divination; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Arcane Sight; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Arcane Sight; Divination; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Arcane Sight, Greater; Divination; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Arcane Spellsurge; Universal; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Arcane Turmoil; Abjuration; yes; yes; yes; no; no; no; Complete Mage; Supplementals (3.5); 
Arctic Haze; Conjuration; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Armageddon; Conjuration; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Armor Enhancement; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Armor Enhancement, Greater; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Armor Enhancement, Lesser; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Armor Lock; Transmutation; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Armor of Darkness; Abjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Armor of Darkness; Abjuration; yes; yes; no; no; yes; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Armor of Darkness; Abjuration; yes; yes; no; no; yes; no; Deities and Demigods; Supplementals (3.0); 
Armored Vermin; Transmutation; yes; yes; no; no; yes; no; Drow of the Underdark; Supplementals (3.5); 
Arms of Plenty; Transmutation; yes; yes; yes; no; no; no; Lords of Madness; Supplementals (3.5); 
Arrow Mind; Divination; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Arrow Mind; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Arrow of Bone; Necromancy; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Arrow of Bone; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Arrow Storm; Transmutation; yes; no; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Arrow Storm; Transmutation; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Arrowsplit; Conjuration; yes; no; yes; no; no; no; Champions of Ruin; Forgotten Realms (3.5); 
As the Frost; Transmutation; yes; yes; yes; no; no; no; Player's Handbook II; Supplementals (3.5); 
Ashen Union; Necromancy; yes; yes; yes; no; no; no; Sandstorm; Supplementals (3.5); 
Ashstar; Conjuration; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Aspect of the Chromatic Dragon; Transmutation; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Aspect of the Deity; Transmutation; no; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Aspect of the Deity; Transmutation; yes; yes; no; no; yes; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Aspect of the Deity, Greater; Transmutation; no; no; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Aspect of the Deity, Greater; Transmutation; yes; yes; no; no; yes; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Aspect of the Deity, Lesser; Transmutation; yes; yes; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Aspect of the Deity, Lesser; Transmutation; yes; yes; no; no; yes; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Aspect of the Earth Hunter; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Aspect of the Icy Hunter; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Aspect of the Platinum Dragon; Transmutation; yes; yes; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Aspect of the Werebeast; Transmutation; yes; yes; no; no; no; no; Races of Eberron; Eberron (3.5); 
Aspect of the Wolf; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Assassin's Darkness; Evocation; yes; yes; no; no; no; no; Complete Scoundrel; Supplementals (3.5); 
Assassin's Stance; Shadow Hand; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Assay Resistance; Divination; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Assay Spell Resistance; Divination; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Astral Hospice; Conjuration; yes; yes; yes; no; no; no; Planar Handbook; Supplementals (3.5); 
Astral Hospice; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Astral Projection; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Atonement; Abjuration; yes; yes; yes; yes; yes; yes; Player's Handbook v.3.5; Core (3.5); 
Attentive Alarm; Abjuration; yes; yes; no; yes; yes; no; Complete Mage; Supplementals (3.5); 
Attraction; Transmutation; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Attune Form; Transmutation; yes; yes; yes; no; yes; no; Planar Handbook; Supplementals (3.5); 
Attune Form; Transmutation; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Attune Form; Transmutation; yes; yes; yes; no; yes; no; Manual of the Planes; Supplementals (3.0); 
Augment Familiar; Transmutation; yes; yes; no; no; no; no; Complete Warrior; Supplementals (3.5); 
Augment Familiar; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Augment Object; Transmutation; yes; yes; yes; no; no; no; Stronghold Builder's Guidebook; Supplementals (3.0); 
Augment Truefriend; Transmutation; yes; yes; no; no; no; no; Tome of Magic; Supplementals (3.5); 
Augury; Divination; yes; yes; yes; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Aura Against Flame; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aura Against Flame; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Aura of Chaos; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Aura of Cold, Greater; Transmutation; no; no; no; no; no; no; Frostburn; Supplementals (3.5); 
Aura of Cold, Lesser; Transmutation; yes; yes; no; no; yes; no; Frostburn; Supplementals (3.5); 
Aura of Evasion; Abjuration; yes; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Aura of Evasion; Abjuration; yes; yes; yes; no; yes; no; Draconomicon; Supplementals (3.5); 
Aura of Glory; Transmutation; yes; no; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Aura of Glory; Transmutation; yes; no; no; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Aura of Perfect Order; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Aura of Terror; Necromancy; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aura of Terror; Necromancy; yes; no; no; no; no; no; Draconomicon; Supplementals (3.5); 
Aura of the Sun; Abjuration; yes; yes; no; no; yes; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Aura of Triumph; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Aura of Tyranny; Devoted Spirit; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Aura of Vitality; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aura of Vitality; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Auspicious Odds; Evocation; yes; yes; yes; no; yes; no; Unearthed Arcana; Supplementals (3.5); 
Auspicious Odds, Mass; Evocation; no; no; no; no; no; no; Unearthed Arcana; Supplementals (3.5); 
