/ http://dndtools.eu/items/

.Item; Level; Cost; Slot/Property; Rulebook; Edition

Aberrant Sphere; 7th; 2,800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Arrow, Alchemist's; -; 75 gp; Ammunition; Arms and Equipment Guide; Supplementals (3.0); 
Asura Shield; -; 27,180 gp; Armor or shield; Book of Exalted Deeds; Supplementals (3.5); 
Averter; -; 13,000 gp; Shield; Magic Item Compendium; Supplementals (3.5); 
Axeblock; -; +2 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Axiomatic; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Boulders; 5th; 1,400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Bag of Endless Caltrops; 3rd; 800 gp; -; Magic Item Compendium; Supplementals (3.5); 
Bag of Flames; 8th; 3,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Bag of Holding I; -; 2,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Holding II; -; 5,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Holding III; -; 7,400 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Holding IV; -; 10,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Tricks, Gray; -; 900 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Tricks, Rust; -; 6,300 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bag of Tricks, Tan; -; 3,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Balance; -; 3,750 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Balance, Greater; -; 18,750 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Balance, Improved; -; 11,250 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Bands of Blood Rage; 7th; 2,600 gp; Arms; Magic Item Compendium; Supplementals (3.5); 
Bane; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Bane Blind; -; 15,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Banishing; -; +3 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Banner of the Storm's Eye; 14th; 15,000 gp; held or Shoulders; Magic Item Compendium; Supplementals (3.5); 
Barbed Dagger; -; 35 gp; Weapon; Complete Adventurer; Supplementals (3.5); 
Barbs of Retribution; 9th; 4,500 gp; Hands; Magic Item Compendium; Supplementals (3.5); 
Barsolidor, the Tyrant Bane; -; 52,515 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Battle Bridle; 12nd; 9,000 gp; Face; Magic Item Compendium; Supplementals (3.5); 
Battleaxe; -; 10 gp; -; Player's Handbook v.3.5; Core (3.5); 
Bead of Force; -; 3,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Beastskin; -; +2 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Beetle Elixir; 5th; 1,350 gp; -; Magic Item Compendium; Supplementals (3.5); 
Belt of Dwarvenkind; -; 14,900 gp; Waist; Dungeon Master's Guide v.3.5; Core (3.5); 
Belt of Giant Strength +4; -; 16,000 gp; Waist; Dungeon Master's Guide v.3.5; Core (3.5); 
Belt of Giant Strength +6; -; 36,000 gp; Waist; Dungeon Master's Guide v.3.5; Core (3.5); 
Belt of the Wide Earth; 11th; 8,000 gp; Waist; Magic Item Compendium; Supplementals (3.5); 
Belt, Monk's; -; 13,000 gp; Waist; Dungeon Master's Guide v.3.5; Core (3.5); 
Bite; -; ; -; Monster Manual; Core (3.0); 
Bite or Heavy Pick; -; ; -; Complete Divine; Supplementals (3.5); 
Blast Disk; 4th; 900 gp; held; Magic Item Compendium; Supplementals (3.5); 
Blast Globes; 11th; 8,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Blend Cream; -; 50 gp; -; Complete Adventurer; Supplementals (3.5); 
Blessed; -; +1 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Blessed Bandage; 1st; 10 gp; held; Magic Item Compendium; Supplementals (3.5); 
Blight Stone; 2nd; 300 gp; held; Magic Item Compendium; Supplementals (3.5); 
Blinking; -; 15,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Blood Claw Choker; 13rd; 12,000 gp; Throat; Magic Item Compendium; Supplementals (3.5); 
Blueshine; -; 1,500 gp; Metal armor; Magic Item Compendium; Supplementals (3.5); 
Blurring; -; +1 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Blurring, Greater; -; +2 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Boat, Folding; 11th; 7,200 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Boccob’s Blessed Book; 13rd; 12,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of Elvenkind; 7th; 2,500 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of Levitation; 11th; 7,500 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of Speed; 13rd; 12,000 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of Striding and Springing; 10th; 5,500 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of Teleportation; 18th; 49,000 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots of the Winterlands; 7th; 2,500 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Boots, Winged; 14th; 16,000 gp; Feet; Dungeon Master's Guide v.3.5; Core (3.5); 
Bottle of Air; 11th; 7,250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bow of the Solars; -; 100,100 gp; held; Book of Exalted Deeds; Supplementals (3.5); 
Bowl of Commanding Water Elementals; 20th; 100,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracelet of Friends; 15th; 19,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Aerial Combat; 9th; 5,000 gp; Arms; Magic Item Compendium; Supplementals (3.5); 
Bracers of Archery, Greater; 15th; 25,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Archery, Lesser; 9th; 5,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +1; 4th; 1,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +2; 8th; 4,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +3; 12nd; 9,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +4; 14th; 16,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +5; 15th; 25,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +6; 17th; 36,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +7; 18th; 49,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of Armor +8; 18th; 64,000 gp; Arms; Dungeon Master's Guide v.3.5; Core (3.5); 
Bracers of blinding strike; 9th; 5,000 gp; Arms/Armor; Magic Item Compendium; Supplementals (3.5); 
Brazier of Commanding Fire Elementals; 20th; 100,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Breastplate of Terror; 14th; 13,200 gp; Body/Armor; Magic Item Compendium; Supplementals (3.5); 
Brilliant Energy; -; +4 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Broadblade Short Sword; -; 75 gp; Weapon; Complete Adventurer; Supplementals (3.5); 
Brooch of Shielding; 5th; 1,500 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Broom of Flying; 14th; ; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Buoyant; -; 4,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Caduceus; -; 34,950 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Called; -; 2,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Camouflage Paint; 5th; 1,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Canaith Mandolin; 12nd; 8,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Candle of Invocation; 12nd; 8,400 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Candle of Truth; 7th; 2,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Cape of the Mountebank; 13rd; 10,080 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Carpet of flying, 10 ft. by 10 ft.; 18th; 60,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Carpet of flying, 5 ft. by 10 ft.; 16th; 35,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Carpet of flying, 5 ft. by 5 ft.; 15th; 20,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Caster's Shield; -; 3,153 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Catstink; -; 50 gp; -; Complete Adventurer; Supplementals (3.5); 
Celestial Blade; -; 18,335 gp; held; Book of Exalted Deeds; Supplementals (3.5); 
Celestial Mace; -; 50,312 gp; held; Book of Exalted Deeds; Supplementals (3.5); 
Censer of Controlling Air Elementals; 20th; 100,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Censer of The Last Breath [Relic]; 7th; 2,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Chaos Diamond; 23rd; 160,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Chime of Harmonic Agony; 8th; 3,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Chime of Interruption; 14th; 16,800 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Chime of Opening; 7th; 3,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Circlet of Blasting, Major; 15th; 23,760 gp; Head; Dungeon Master's Guide v.3.5; Core (3.5); 
Circlet of Blasting, Minor; 10th; 6,480 gp; Head; Dungeon Master's Guide v.3.5; Core (3.5); 
Circlet of Persuasion; 9th; 4,500 gp; Head; Dungeon Master's Guide v.3.5; Core (3.5); 
Claw Gloves; 10th; 5,604 gp; Hands; Magic Item Compendium; Supplementals (3.5); 
Cli Lyre; 15th; 18,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cloak of Arachnida; 14th; 14,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Charisma +2; 8th; 4,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Charisma +4; 14th; 16,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Charisma +6; 17th; 36,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Displacement, Major; 18th; 50,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Displacement, Minor; 15th; 24,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Elvenkind; 7th; 2,500 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Etherealness; 18th; 55,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Resistance +1; 4th; 1,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Resistance +2; 8th; 4,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Resistance +3; 12nd; 9,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Resistance +4; 14th; 16,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of Resistance +5; 15th; 25,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of the Bat; 16th; 26,000 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cloak of the Manta Ray; 11th; 7,200 gp; Shoulders; Dungeon Master's Guide v.3.5; Core (3.5); 
Cobra Straps; 5th; 1,400 gp; Feet; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 1 point; 4th; 1,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 11 point; 17th; 36,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 13 point; 18th; 49,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 15 point; 18th; 64,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 17 point; 20th; 81,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 3 point; 8th; 4,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 5 point; 12nd; 9,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 7 point; 14th; 16,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cognizance Crystal, 9 point; 15th; 25,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Commander; -; 2,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Conduit Rod; 10th; 6,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Cornucopia of the Needful [Relic]; 10th; 6,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Crystal Anchor of Alertness; 7th; 2,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Crystal Ball; 17th; 42,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Crystal ball with Detect Thoughts; 18th; 51,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Crystal ball with See Invisibility; 18th; 50,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Crystal ball with Telepathy; 19th; 70,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Crystal ball with True Seeing; 19th; 80,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Crystal of Alacrity; 8th; 3,500 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Cube of Force; 18th; 62,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Cube of Frost Resistance; 16th; 27,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Cubic Gate; 24th; 164,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Cup and Talisman of Al’Akbar; -; ; -; Book of Exalted Deeds; Supplementals (3.5); 
Daern's Instant Tent; 12nd; 9,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Daern’s Instant Fortress; 18th; 55,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dagger; -; 2 gp; -; Player's Handbook v.3.5; Core (3.5); 
Dancing; -; +4 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Darkskull; 18th; 60,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Darkwood Buckler; -; 205 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Darkwood Shield; -; 257 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Dart of the Phoenix; -; 99,400 gp; held; Book of Exalted Deeds; Supplementals (3.5); 
Daylight; -; 3,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Daylight Pellet; 1st; 150 gp; held; Magic Item Compendium; Supplementals (3.5); 
Death Ward; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Decanter of Endless Water; 12nd; 9,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Deck of Illusions; 12nd; 8,100 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Deepdweller; -; 12,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Defending; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Demondoom; -; 51,512 gp; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Devilhusk; -; 33,165 gp; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Diamondskin Decanter; 9th; 5,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Dimensional Shackles; 16th; 28,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Displacement; -; +1 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Disruption; -; +2 bonus; Melee weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Distance; -; +1 bonus; Ranged weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Domain Draught; 8th; 3,300 gp; -; Magic Item Compendium; Supplementals (3.5); 
Doss Lute; 9th; 4,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Dove's Harp; 13rd; 12,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Black; 7th; 2,400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Blue; 9th; 4,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Brass; 4th; 1,200 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Bronze; 8th; 3,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Copper; 7th; 2,400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Gold; 10th; 5,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Green; 8th; 3,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Red; 10th; 5,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, Silver; 9th; 4,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragon's Draught, White; 4th; 1,200 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dragondodger; -; +1 bonus; Light armor; Magic Item Compendium; Supplementals (3.5); 
Dragondoom Scepter; 14th; 1,800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Drums of Marching; 4th; 1,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Drums of Panic; 16th; 30,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dust of Appearance; 5th; 1,800 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dust of Disappearance; 8th; 3,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dust of Dispersion; 3rd; 500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Dust of Dryness; 4th; 850 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dust of Illusion; 4th; 1,200 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Dust of Tracelessness; 2nd; 250 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Easy Travel; -; 1,500 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Ectoplasmic Feedback; -; +1 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Ectoplasmic Wall; -; +2 bonus; Shield; Magic Item Compendium; Supplementals (3.5); 
Ehlonnas Seed Pouch [Relic]; 5th; 1,400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Electric Eel Elixir; 2nd; 400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Elixir of Adamantine Blood; 3rd; 500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Elixir of Fire Breath; -; 1,100 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Elixir of Flaming Fists; 2nd; 300 gp; -; Magic Item Compendium; Supplementals (3.5); 
Empyreal; -; +2 bonus; Armor or shield; Book of Exalted Deeds; Supplementals (3.5); 
Energy Defense; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Energy Immunity; -; +2 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Energy Resistance; -; 18,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Energy Resistance, Greater; -; +24000 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Energy Resistance, Improved; -; 24,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Enfeebling; -; +1 bonus; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Enveloping Pit [Relic]; 8th; 3,600 gp; -; Magic Item Compendium; Supplementals (3.5); 
Essentia Jewel; 2nd; 400 gp; -; Magic Item Compendium; Supplementals (3.5); 
Eternal Wand, 0-level spell; 3rd; 460 gp; held; Magic Item Compendium; Supplementals (3.5); 
Eternal Wand, 1st-level spell; 4th; 820 gp; held; Magic Item Compendium; Supplementals (3.5); 
Eternal Wand, 2nd-level spell; 9th; 4,420 gp; held; Magic Item Compendium; Supplementals (3.5); 
Eternal Wand, 3nd-level spell; 13rd; 10,900 gp; held; Magic Item Compendium; Supplementals (3.5); 
Everfull Mug; 2nd; 200 gp; -; Magic Item Compendium; Supplementals (3.5); 
Everlasting Feedbag; 3rd; 800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Everlasting Rations; 2nd; 350 gp; held; Magic Item Compendium; Supplementals (3.5); 
Exalted; -; +3 bonus; Armor; Book of Exalted Deeds; Supplementals (3.5); 
Exploding Spike; 5th; 1,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Ezrylon; -; ; Weapon; Book of Exalted Deeds; Supplementals (3.5); 
Falchion; -; 75 gp; -; Player's Handbook v.3.5; Core (3.5); 
Fang Scarab; -; 3,500 gp; Body; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Fareye Oil; -; 25 gp; -; Complete Adventurer; Supplementals (3.5); 
Fearsome; -; 15,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Field Provisions Box; 6th; 2,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Flail; -; 8 gp; -; Player's Handbook v.3.5; Core (3.5); 
Flaming; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Flaming Burst; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Flash Pellet; -; 50 gp; -; Complete Adventurer; Supplementals (3.5); 
Flesheater; 13rd; 12,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Fochlucan Bandore; 5th; 1,350 gp; held; Magic Item Compendium; Supplementals (3.5); 
Focusing Candle; -; 100 gp; -; Complete Adventurer; Supplementals (3.5); 
Freedom; -; +5 bonus; Armor; Magic Item Compendium; Supplementals (3.5); 
Freeglide; -; 20 gp; -; Complete Adventurer; Supplementals (3.5); 
Frost; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Gauntlets of Destruction; 11th; 6,610 gp; Hands/Armor; Magic Item Compendium; Supplementals (3.5); 
Gauntlets of Ogre Power; -; 4,000 gp; Hands; Dungeon Master's Guide v.3.5; Core (3.5); 
Gem of Seeing; -; 75,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Ghost Touch; -; +1 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Ghost Ward; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Glitter Stone; 3rd; 450 gp; held; Magic Item Compendium; Supplementals (3.5); 
Globe of Sunlight; 10th; 6,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Gloves of endless javelins; 11th; 7,000 gp; Hands/Armor; Magic Item Compendium; Supplementals (3.5); 
Gloves of the Starry Sky; 4th; 1,100 gp; Hands; Magic Item Compendium; Supplementals (3.5); 
Glyph Seal; 4th; 1,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Glyph Seal, Greater; 8th; 4,000 gp; held; Magic Item Compendium; Supplementals (3.5); 
Goggles of the Golden Sun; 8th; 4,000 gp; Face; Magic Item Compendium; Supplementals (3.5); 
Golem Manual (Clay); -; 12,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Golem Manual (Stone); -; 22,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Greatsword; -; 50 gp; -; Player's Handbook v.3.5; Core (3.5); 
Hammersphere; 5th; 1,500 gp; held; Magic Item Compendium; Supplementals (3.5); 
Harp of Charming; -; 7,500 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Harrow Rod; -; 14,000 gp
                
                
                    +14 bonus; held; Magic Item Compendium; Supplementals (3.5); 
Hawk's Ointment; -; 50 gp; -; Complete Adventurer; Supplementals (3.5); 
