/ http://www.random-generator.com/index.php?title=Level_1_Monster

: 1 = .* 1 .*
: 2 = .* 2 .*
: 3 = .* 3 .*
: 4 = .* 4 .*
: 5 = .* 5 .*
: 6 = .* 6 .*

: On Level 1
9x {:1.Encounter}
2x {:2.Encounter}
{:3.Encounter}

: On Level 2
3x {:1.Encounter}
6x {:2.Encounter}
2x {:3.Encounter}
{:4.Encounter}

: On Level 3
{:1.Encounter}
2x {:2.Encounter}
6x {:3.Encounter}
2x {:4.Encounter}
{:5.Encounter}

: On Level 4
{:2.Encounter}
2x {:3.Encounter}
6x {:4.Encounter}
2x {:5.Encounter}
{:6.Encounter}

: On Level 5
{:3.Encounter}
2x {:4.Encounter}
6x {:5.Encounter}
3x {:6.Encounter}

: On Level 6
{:4.Encounter}
2x {:5.Encounter}
9x {:6.Encounter}

.Encounter                     Lvl    Source
{4} Rhagodessa, Giant           4     ACKS Monsters
{4} Shadow Vetch                4     Monsters of Myth
{4} Wraith                      4     ACKS Monsters
{6} Agarat                      4     Creature Catalog
{6} Giant Saw-toothed Beetle    4     Tome of Horrors
{6} Grick                       4     Monstrosities
{6} Hell hound                  4     ACKS Monsters
{6} Minotaur                    4     ACKS Monsters
{8} Air Gust                    4     Tome of Horrors
{d6+4} Lemure demon             4     Monstrosities
Assassin Vine                   5     Monstrosities
Brassbound                      5     Hamsterish Horde
Funghemoth                      5     Monsters of Myth
Hypnosnake                      5     Creature Catalog
Living Statue, Black Iron       5     Hamsterish Horde
Mercury Ooze                    5     Tome of Horrors
Ooze Demon                      5     Tome of Horrors
Otyugh                          5     ACKS Monsters
Pyrolisk                        5     Tome of Horrors
Quasit demon                    5     Monstrosities
Slime Worm                      5     Creature Catalog
Sorceror Ox (& {6} Minotaurs)   5     Tome of Horrors
Spider collective               5     Tome of Horrors
Wax Golem                       5     Monstrosities
{2d4} Hell Hound, Greater       5     ACKS Monsters
{2} Boalisk                     5     Tome of Horrors
{2} Elemental (8hd)             5     ACKS Monsters
{2} Wyvern                      5     ACKS Monsters
{3} Caecilian                   5     ACKS Monsters
{3} Death Tapioca               5     Hamsterish Horde
{3} Lindworm                    5     Hamsterish Horde
{4} Alistrath                   5     Hamsterish Horde
{4} Bone Dragon                 5     Hamsterish Horde
{4} Hook Hulker                 5     Creature Catalog
{4} Lesser Phantom              5     Creature Catalog
{4} Lithonnite                  5     Monsters of Myth
{4} Spectre                     5     Monstrosities
{6} Ankheg                      5     ACKS Monsters
{6} Basilisk                    5     ACKS Monsters
{6} Four-Armed Gargoyle         5     Tome of Horrors
{6} Spider Troll                5     Monsters of Myth
{d4+1} Salamander, Flame        5     ACKS Monsters
Black Dragon                    6     ACKS Monsters
Blue Dragon                     6     ACKS Monsters
Bone Mound                      6     Monstrosities
Bulette                         6     ACKS Monsters
Chimera                         6     ACKS Monsters 
Copper golem                    6     Monsters of Aihrde
Demon boar                      6     ACKS Monsters
Dusanu (2d2)                    6     Creature Catalog
Giant amoeba                    6     Creature Catalog
Gorgon                          6     ACKS Monsters
Greater basilisk                6     Tome of Horrors
Hydra (12 headed)               6     ACKS Monsters
Lamia                           6     ACKS Monsters
Linnorm                         6     Monstrosities
Purple worm                     6     ACKS Monsters
Red Dragon                      6     ACKS Monsters
Remorhaz                        6     ACKS Monsters
Shambling mound                 6     Monstrosities
Skittering maw                  6     ACKS Monsters
Stegocentipede                  6     Tome of Horrors
Tendriculos                     6     Monstrosities
Vampire                         6     ACKS Monsters
{2} Clay golem                  6     Monstrosities
{2} Fyrsnaca                    6     Creature Catalog
{3} Hezrou demon                6     Monstrosities
{3} Khavorr demon               6     Monstrosities
{4} Aru Demon                   6     Monsters of Aihrde
{4} Death Demon                 6     Creature Catalog
{4} Dire Wolfwere               6     Tome of Horrors
{4} Dungeon dragon              6     Tome of Horrors
{4} Ember dragon                6     Hamsterish Horde
{4} Shade dragon                6     Hamsterish Horde
{4} Ulthal demon                6     Monsters of Aihrde
{6} Glabrezu demon              6     Monstrosities
{8} Charon Fiend                6     Monsters of Aihrde
{Element} Elemental (12hd)      6     ACKS Monsters
