/ http://www.legolas.org/items/herb.html
/ Illustrated Guide to Herbs For RPGs 5th Edition, by Shaun Hately
/ http://www.republicofnewhome.org/lair/games/herb5/herb5illo.html
/ TODO: check Asheron's Call

/ Cost - Raw/Prepared
/ Season - Spring, Summer, Autumn, Winter, All 
/ Zone - Temperate, Cold, Tropical, Sub-tropical, Polar
/ Locale - Coastal, Desert, Forest, Grassland, Hills, Jungle, Mountains, Rivers, Rural, Special, Swamp, Underworld, Urban, Volcanic, Wasteland

.Herb               Cost           Purpose                  Season            Zone              Locale
masterwort          2gp/7gp        plague                   su                te                ru
megillos            1gp/3gp        improves eyesight        wi                cd                mo
melander            12sp/20sp      disease resist           wi                cd                ri
milkworte           4gp/8gp        cholera                  sp/su             te                ru
mirenna             10gp/10gp      healing                  wi                cd                mo
mountain garlick    8gp/9gp        repels spirits?          al                te/cd             mo
mountain setwall    1gp/3gp        hair growth              al                te                mo
mugwort             2gp/4gp        prevents collapse        su                te                ru
myrrh
napweed             1gp/1gp        poison protection        sp                te                ru
navew               4gp/12gp       antidote                 wi                st/tr             ri
nightcall           50gp/50gp      enhances senses          su                tr                de
oede                1000gp/1000gp  ?                        sp                te                ru
oiolosse            1200gp/1200gp  see description          wi                po                fo
olus veritis        5gp/10gp       compels truth            wi                te/cd             ri
olvar               300gp/300gp    prevents death           wi                po                co
orach               2gp/10gp       jaundice                 su                te                fo
pallast             5sp/1gp        pain relief              su                te                sw
palma eldath        3gp/3gp        warmth                   al                cd/po             mo
pargen              2000gp/2000gp  resurrection             su                tr                ju
pattran             10gp/10gp      induces sleep            su                te                fo
pennyroyal          3gp/3gp        insect repellent         sp                te                ru/ur
peony               1gp/2gp        healing                  sp                te                ru
periwinkle          1gp/10gp       bleeding                 sp                te                ru
petiveria           1gp/3gp        swelling/bruising        su                st/tr             ru
prince's feather    1gp/2gp        bleeding                 su/au             te                ru
rampalt             5cp/5cp        congestion               su                te                fo
rewk                9sp/1gp        healing                  au                te                ru
ribwort plantain    1gp/1gp        bruising                 sp                te/st             ur
rose campion        1gp/3gp        scorpion stings          su                te                fo
rue                 1gp/1gp        antidote                 su                te                ru
sabito              100gp/500gp    breathing                su                tr                co
saddilia            100gp/300gp    raises attributes        su/au             te                gr
saffron             20gp/100gp     raises attributes        au/wi             te                fo
sanicle             5gp/30gp       bleeding                 au/su/wi          te                fo
saracen confound    1gp/20gp       fevers                   su                te                ru
scented mayweed     8gp/15gp       blindness                su                te                fo
serapias turbith    4gp/7gp        healing                  sp/su             te                gr
sessali             1gp/4gp        antidote                 au/sp/su          st                co
shepherd's purse    5gp/12gp       bleeding                 al                te                gr
silverthorn         1000gp/10000gp antidote                 al                te                mo
sinquoi             2gp/3gp        dilates time             su                st                ru
snakespike          5gp/7gp        inflammation             sp                te                co
spanish nut         10gp/100gp     aphrodisiac              al                te/st             fo
spiderwort          4gp/10gp       spider bites             sp/su             te                sp
spring adonis       3gp/8gp        relieves heart           sp                cd                mo
strawberry          2gp/2gp        leprosy                  su                te                ru
suaeysit            10gp/50gp      energy                   au                cd                fo
sweet trefoile      1gp/3gp        falling damage           sp/su             te                fo
tai-gi              2gp/3gp        enhances senses          su                st                ru
tamarindes          1gp/2gp        quenches thirst          al                tr                fo
tamariske           5gp/7gp        anti-infection           al                te                ru
tateesha            1sp/10gp       raises int               al                st                sw
tempin              5gp/5gp        antidote                 su                te                fo
tephrosia           2gp/3gp        calming effect           sp/su/au          tr                co
terbas              2gp/2gp        nerve damage             sp                te                fo
teriko weed         2gp/3gp        contraceptive            sp/su             st                ru
thorn apple         1gp/1gp        pain relief              sp/su             te/st             ru
throw-waxe          2gp/3gp        scarring                 sp/su             te                fo
thurl               1sp/2sp        healing                  au                te                fo
thyme               2gp/5gp        antiseptic               sp                te/cd             ru
ur                  3gp/3gp        food substitute          wi                te                gr
valerian            1gp/2gp        eases fits               sp                te                gr
vervain
vinuk               8sp/8sp        awaken                   su                te                gr
white bryony        1gp/2gp        pneumonia                au                te                fo
whitecandle         5gp/5gp        pain relief              au                te/st             fo
willow-herb         5gp/5gp        snake repellent          su                te                fo
winclamit           100gp/100gp    healing                  sp                te                fo
wolfsbane           20gp/40gp      lycanthropy              su/au             te                hi
wolfsbane (whole)   100gp/100gp    antidote                 su                te                fo
woodrose            1gp/1gp        makes merry              su                te                ri
wood sorrel         2gp/4gp        cools                    su/au             tr                de
wormwood            2gp/2gp        antiseptic               sp                te                ru
yaran               8sp/8sp        enhances senses          au                te                gr
yarrow              10gp/10gp      bleeding                 su                te                ru
yavethalion         45gp/45gp      healing                  au                te                co
young lad's love    1gp/1gp        frostbite                su/au             te/st             fo
zulsendra           70gp/70gp      increase move            su                tr                un
zur                 12gp/50gp      enhances senses          wi                cd                un
