/ http://www.jrrvf.com/hisweloke/sindar/online/sindar/dict-sd-en.html

.Sindarin, Type, Definition

a; conj.; and
blab; inf.; blebi N. v. to beat, batter, flap (wings, etc.)
blebi; inf. (pl); blebi N. v. to beat, batter, flap (wings, etc.)
blâb; v.; pres. 3rd of blab-, (he) flaps, beats
bo; prep.; on
boda; v.; to ban, prohibit
boe; v.; impers. to need
born; adj.; hot, red
both; n.; puddle, small pool
bragol; adj.; sudden
braig; adj.; wild, fierce
brand; adj.; 1. lofty, noble, fine ○ 2. high (in size)
brann; adj. (pl); 1. lofty, noble, fine ○ 2. high (in size)
brannon; n.; m. lord
brass; n.; white heat
brassen; adj.; white-hot
breged; n.; violence, suddenness
bregol; adj.; violent, sudden, fierce
bregolas; n.; abst. of bregol, fierceness
breig; adj. (pl); wild, fierce
breitha; inf.; breitho N. v. to break out suddenly
breitho; inf. (pl); breitho N. v. to break out suddenly
brenia; inf.; brenio N. v. to endure
brenio; inf. (pl); brenio N. v. to endure
brennil; n.; f. lady
brethil; n.; beech, beech-tree, silver birch
brith; n.; gravel
brona; inf.; brono N. v. to last, to survive
bronad; ger.; of brona-, survival 
bronadui; adj.; enduring, lasting
brono; inf. (pl); brono N. v. to last, to survive
bronwe; n.; endurance, lasting quality, faith
brui; adj.; loud, noisy ndex
brôg; n.; bear
brûn; adj.; old, that has long endured, or been established, or in use
bui; v. (pl); impers. to need
buia; inf.; buio N. v. to serve, to hold allegiance to
buio; inf. (pl); buio N. v. to serve, to hold allegiance to
bund; n.; 1. snout, nose ○ 2. by ext., cape (of land)
bunn; n. (pl); 1. snout, nose ○ 2. by ext., cape (of land)
bâd; n.; beaten track, pathway
bêd; soft mut. of; pêd
bîn; soft mut. of; pîn Bîn 
bôr; n.; steadfast, trusty man, faithful vassal
bŷr; n.; follower, vassal
cab; v.; to leap 
cabed; ger.; of cab-, 1. leap ○ 2. by ext., deep gorge
cabor; n.; frog
cabr; n. (pl); frog
cadu; adj.; shaped, formed
cadw; adj. (pl); shaped, formed
cadwar; adj. (pl); shapely
cadwor; adj.; shapely
cae; adj.; num. card. ten
cael; n.; lying in bed, sickness
caeleb; adj.; bedridden, sick
caenen; adj.; num. ord. tenth ⇒ paenui, caenui
caenui; adj.; num. ord. tenth
caer; adj.; num. card. ten
caew; n.; lair, resting-place
cai; n.; hedge
cail; n.; fence or palisade of spikes and sharp stakes
caint; n. (pl); plural of outline, shape 
cair; n.; ship
calad; ger.; light
calan; n.; day, period of actual daylight
calar; n.; (portable) lamp 
calardan; n.; lampwright
calben; n.; 1. Elf of the Great Journey (lit. "light person") ○ 2. by ext., all Elves but the Avari
calen; adj.; green
calf; n. (pl); water-vessel
callon; n.; hero
calph; n.; water-vessel
cam; n.; hand
camb; n. (pl); hand
camland; n. (pl); palm of hand
camlann; n.; palm of hand
camm; n. (pl); hand
can; v.; to cry out, shout, call
canad; adj.; num. card. four
canath; adj. (pl); num. card. four
cand; adj.; bold
canhui; adj. (pl); num. ord. fourth
cann; adj. (pl); bold
cannas; n.; abst. of cant, shaping 
cant; n.; outline, shape 
canthui; adj.; num. ord. fourth
cantui; adj. (pl); num. ord. fourth
car; n.; house, building
carab; n.; hat
carach; n.; jaw, row of teeth
caraes; n.; jagged hedge of spikes 
carag; n.; spike, tooth of rock
caran; adj.; red
caras; n.; 1. circular earthwall with dike ○ 2. city (built above ground)
carch; n.; tooth, fang
cardh; n. (pl); deed, feat
cared; ger.; of car-, making, doing 
caro; v.; imp. of car-, do! make!
carth; n.; deed, feat
cast; n.; cape, headland 
cathrae; n.; tressure, net for combining the hair
caul; n.; great burden, affliction
caun; n.; prince, ruler
caw; n.; top
ceber; n.; stake, spike, stone ridge
cebir; n. (pl); plural of stake, spike, stone ridge
cef; n.; soil
cefn; adj.; earthen
ceif; n. (pl); plural of soil
ceir; n. (pl); ship
ceirdan; n. (pl); shipbuilder, shipwright
celair; adj.; brilliant
celbin; n. (pl); plural of 1. Elf of the Great Journey (lit. "light person") ○ 2. by ext., all Elves but the Avari
celeb; n.; silver
celebren; adj.; like silver (in hue or worth)
celebrin; adj. (pl); plural of like silver (in hue or worth)
celefn; adj. (pl); of silver
celeg; adj.; swift, agile, hasty
celeir; adj. (pl); brilliant
celerdain; n. (pl); plural of lampwright
celevon; adj.; of silver
celin; adj. (pl); plural of green
cell; adj.; 1. running ○ 2. by ext., flowing (of water) LotR/Map
celon; n.; river (name) 
celu; n.; spring, source
celw; n. (pl); spring, source
cen; v.; to see 
cened; ger.; of cen-, seeing, sight 
cenedril; n.; looking-glass, mirror
cennan; n.; potter
cerch; n.; sickle
ceredir; n.; doer, maker
cerin; n.; 1. circular enclosure ○ 2. by ext., mound
cerir; v.; pres. 3rd pl. of car-, they do
certh; n.; rune
certhas; n.; abst. of certh, runic alphabet, rune-rows
cerveth; n.; july (month)
ceven; n.; Earth
cevn; adj. (pl); earthen
chaered; soft mut. of; haered
chebin; soft mut. of; hebin
cherdir; soft mut. of; herdir
chwand; n. (pl); sponge, fungus
chwann; n. (pl); sponge, fungus
chwest; n. (pl); puff, breath, breeze
chwind; adj. (pl); twirling, whirling
chwinia; inf. (pl); †hwinio *S. (chwinio N.) v. to twirl, whirl, eddy
chwinio; inf. (pl); †hwinio *S. (chwinio N.) v. to twirl, whirl, eddy
chwiniol; part. of (pl); hwinia-, whirling, giddy, fantastic
chwinn; adj. (pl); twirling, whirling
chwîn; n. (pl); giddiness, faintness
chîn; nasal mut. pl. of; hên II
cirban; n. (pl); haven
cirdan; n. (pl); shipbuilder, shipwright
cirion; n.; m. shipman, sailor (name)
cirith; n.; cleft, high climbing pass, narrow passage cut through earth or rock, ravine, defile
cirth; n. (pl); plural of rune
claur; n.; splendour, glory
cofn; adj.; empty, void
coll; n.; cloak, mantle 
conath; n.; coll. of caun II, 1. many voices ○ 2. by ext., lamentation
condir; n.; m. mayor
conui; adj.; commanding, (?) ruling (ii)
corch; n.; crow
cordof; n.; pippin (seed of certain fruits, or more probably small red apple)
corn; adj.; round, globed
coron; n.; 1. globe, ball ○ 2. by ext., mound
coru; adj.; cunning, wily
corw; adj. (pl); cunning, wily
cost; n.; quarrel
coth; n.; 1. enmity ○ 2. enemy
craban; n.; kind of crow of large size, raven
cram; n.; cake of compressed flour or meal (often containing honey and milk)
cramb; n. (pl); cake of compressed flour or meal (often containing honey and milk)
crann; adj.; ruddy (of face)
crebain; n. (pl); plural of kind of crow of large size, raven
criss; n.; cleft, cut, slash
crist; n.; cleaver, sword
critha; inf.; critho N. v. to reap
critho; inf. (pl); critho N. v. to reap
crom; n.; left
crum; n.; left hand
crumui; adj.; left-handed
cugu; n.; dove
cuia; v.; to live 
cuil; n.; life
cuin; adj.; alive
cuina; inf.; cuino N. v. to be alive
cuinar; v.; pres. 3rd pl. of cuina-, (they) live 
cuino; inf. (pl); cuino N. v. to be alive
cuio; v.; imp. of cuia-, live!
cum; n.; mound, heap
cumb; n. (pl); mound, heap
cund; n.; prince
cunn; n. (pl); prince
curu; n.; craft, skill
curunir; n. (pl); m. man of craft, wizard
curunír; n.; m. man of craft, wizard
curw; n. (pl); craft, skill
cyll; n.; bearer Tengyl 
círbann; n.; haven
círdan; n.; shipbuilder, shipwright
cîl; n.; (?) renewal
cîr; adj.; renewed
cîw; adj.; fresh, new
côf; n.; bay
côl; n.; gold (metal)
cúran; n. (pl); the crescent Moon
cúron; n.; the crescent Moon
cû; n.; 1. arch, crescent ○ 2. by ext., bow
cûl; n.; load Veleg, Cûl Bîn 
cûn; adj.; bowed, bow-shaped, bent
cýr; adj. (pl); renewed
cýrawn; n. (pl); new moon
cýron; n.; new moon
dad; adv.; down, downwards
dadben; adv. (pl); 1. downhill, inclined ○ 2. by ext., inclined, prone (to do something)
dadbenn; adv.; 1. downhill, inclined ○ 2. by ext., inclined, prone (to do something)
dae; n.; shadow
daedelu; n.; canopy
daen; n.; corpse
daer; n.; bridegroom
dag; inf.; degi N. pa. t. danc N. (degant N.) v. to slay
dagnir; n.; 1. slayer ○ 2. by ext., bane
dagor; n.; battle
dagorath; n.; coll. of dagor, all the battles
dagr; n. (pl); battle
dagra; inf.; dagro N. v. to battle
dagro; inf. (pl); dagro N. v. to battle
dalath; n. (pl); 1. flat surface, plane ○ 2. flat land, plain, (wide) valley Dirnen 
dalw; adj. (pl); flat
dam; n.; hammer
dambeth; n.; answer, response
damma; pa. t.; dammant N. v. to hammer
dammant; pa. t. (pl); dammant N. v. to hammer
dan; prep.; 1. against ○ 2. etym. back
danc; inf. (pl); degi N. pa. t. danc N. (degant N.) v. to slay
dangen; pp. of; dag-, slain
dangweth; n.; answer, reply giving new information
danna; v.; to fall
dannen; n.; ebb, low tide
dant; n.; fall
danwaith; n.; class pl. the Nandor (a tribe of Elves)
danwedh; n.; ransom
dar; inf.; deri N. v. to stay, wait, stop, remain
daro; v.; imp. of dar-, halt! stop!
dartha; v.; to wait, stay, last, endure, remain
dath; n.; hole, pit, steep fall, abyss
daug; n.; warrior, soldier (chiefly used of Orcs)
daul; pa. t. (pl); daul N. v. to conceal
daur; n.; 1. pause, stop ○ 2. by ext., league (about 3 miles)
daw; n.; night-time, gloom
degant; inf. (pl); degi N. pa. t. danc N. (degant N.) v. to slay
degi; inf. (pl); degi N. pa. t. danc N. (degant N.) v. to slay
del; n.; fear, disgust, loathing, horror
deleb; adj.; horrible, abominable, loathsome
delia; inf.; delio N. (dœlio N.) v. to conceal
delio; inf. (pl); delio N. (dœlio N.) v. to conceal
delos; n.; abhorrence, detestation, loathing
deloth; n. (pl); abhorrence, detestation, loathing
delu; adj.; hateful, deadly, fell
delw; adj. (pl); hateful, deadly, fell
dem; adj.; sad, gloomy
den; soft mut. of; ten
denwaith; n.; class pl. the Nandor (a tribe of Elves), the people of Denwe
deren; n. (pl); plural of oak
deri; inf. (pl); deri N. v. to stay, wait, stop, remain
dess; n.; f. young woman
di; soft mut. of; ti
dihenam; v. (pl); pres. 1st pl. of díhena-, we forgive
dilia; inf.; dilio N. pa. t. diliant N. v. to stop up
diliant; inf. (pl); dilio N. pa. t. diliant N. v. to stop up
dilio; inf. (pl); dilio N. pa. t. diliant N. v. to stop up
dineth; n.; bride
diriel; soft mut. of; tiriel
dofn; adj.; gloomy
dol; n. (pl); 1. head ○ 2. by ext., hill or mountain
dolen; pp. of; doltha-, concealed, hidden
doll; adj.; dark, dusky, obscure
dolothen; soft mut. of; tolothen
dolt; n.; round knob, boss
doltha; pa. t.; daul N. v. to conceal
dond; n.; fist, hand (especially in punching)
donn; adj.; swart, swarthy
dor; n. (pl); land, dwelling-place, region where certain people live
dorn; adj.; stiff, tough
dornhoth; n.; class pl. of dorn, the Dwarves, lit. "the Thrawn Folk"
doron; n.; oak
dortha; inf.; dortho N. v. to dwell, stay
dortho; inf. (pl); dortho N. v. to dwell, stay
draf; inf.; dravo N. pa. t. drammen N. (dravant N., dramp N.) v. to hew
drafn; n.; hewn log
dram; n.; heavy stroke, a blow (of axe, etc.)
dramb; n. (pl); heavy stroke, a blow (of axe, etc.)
drambor; n.; 1. clenched fist ○ 2. by ext., blow (with fist)
dramm; n. (pl); heavy stroke, a blow (of axe, etc.)
drammen; inf. (pl); dravo N. pa. t. drammen N. (dravant N., dramp N.) v. to hew
dramp; inf. (pl); dravo N. pa. t. drammen N. (dravant N., dramp N.) v. to hew
drann; soft mut. of; trann
drannail; soft mut. of; trannail
draug; n.; wolf
dravant; inf. (pl); dravo N. pa. t. drammen N. (dravant N., dramp N.) v. to hew
dravo; inf. (pl); dravo N. pa. t. drammen N. (dravant N., dramp N.) v. to hew
drega; v.; to flee
drego; v.; imp. of drega-, flee!
dring; n.; hammer H, 
dringa; inf.; dringo N. v. to beat (with a hammer, etc.)
dringo; inf. (pl); dringo N. v. to beat (with a hammer, etc.)
drúadan; n.; wild man, one of the Woses
drúath; n.; coll. of drû, the people of the Drû, the Woses
drúedain; n. (pl); plural of wild man, one of the Woses
drúin; n. (pl); plural of wild man, Wose, Púkel-Man
drúnos; n.; a family of the Drû-folk (q.v.)
drúwaith; n.; class pl. of drû, the wilderness of the Drû-men (q.v.)
drû; n.; wild man, Wose, Púkel-Man
duin; n.; (long and large) river (having strong current)
duinen; n.; flood, high tide
duir; adj. (pl); plural of dark, sombre
duirro; n.; river-bank
dâf; n.; permission
díhena; v.; to forgive (with matter forgiven as object?)
díhenam; v.; pres. 1st pl. of díhena-, we forgive
díheno; v.; imp. of díhena-, forgive!
dínen; soft mut. of; tínen
díriel; soft mut. of; tíriel
dírnaith; n.; a military wedge-formation launched over a short distance against an enemy massing but not yet arrayed, or against a defensive formation on open ground
dî; n.; f. woman, lady
dîl; n.; stopper, stopping, stuffing
dîn; soft mut. of; tîn II
dîr; n.; m. man, referring to an adult male (elf, mortal, or of any other speaking race)
dîs; n.; f. bride
dôl; n.; 1. head ○ 2. by ext., hill or mountain
dôr; n.; land, dwelling-place, region where certain people live
dúath; n.; coll. of dû, 1. darkness, shadow ○ 2. nightshade
dúlin; n. (pl); nightingale
dúlind; n. (pl); nightingale
dúlinn; n.; nightingale
dúnadan; n.; Man of the west, Númenórean
dúnedain; n. (pl); plural of Man of the west, Númenórean
dúnedhel; n.; Elf of the West, Elf of Beleriand (including Noldor and Sindar)
dúnedhil; n. (pl); plural of Elf of the West, Elf of Beleriand (including Noldor and Sindar)
dúven; adj.; (?) southern
dúvin; adj. (pl); plural of (?) southern
dúwath; n. (pl); coll. of dû, 1. darkness, shadow ○ 2. nightshade
dû; n.; nightfall, late evening, night, dimness
dûn; n.; west
dûr; adj.; dark, sombre
dœlio; inf. (pl); delio N. (dœlio N.) v. to conceal
dœrœn; n. (pl); plural of oak
e; pron.; 3rd he
ebœnnin; n. (pl); plural of and adj. 1. born later, born after ○ 2. as a noun, man, one born later than the Elves, a human being (elvish name for men)
ech; n.; spine
echad; n.; camp
echant; n. (pl); camp
echedi; n. (pl); camp
echil; n.; 1. follower ○ 2. by ext., human being
echor; n.; outer circle, encircling, outer ring
echui; n.; awakening
echuir; n.; a season, the beginning of spring
echuiw; n. (pl); awakening
ecthel; n.; point (of spear)
ed; pref.; forth, out
edaib; n. (pl); plural of building, house
edaid; adj.; num. quant. double
edain; n. (pl); plural of man, one of the Second People (elvish name for men)
edair; n. (pl); plural of m. father
edeb; n. (pl); plural of building, house
edeir; n. (pl); plural of m. father
eden; adj.; new, begun again
edenedair; n. (pl); plural of man, one of the Fathers of Men
eder; n. (pl); plural of m. father
edhel; n.; Elf
edhelharn; n.; elf-stone
edhellen; adj.; elvish, of the Elves
edhil; n. (pl); plural of Elf
edinar; n. (pl); anniversary day
edinor; n.; anniversary day
edledhas; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
edledhia; inf.; †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
edledhio; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
edledhron; n.; exile (person who is exiled)
edlenn; adj.; exiled
edlothia; v.; to blossom, flower X/TL
edlothiad; ger.; of edlothia-, blossoming, flowering 
edonna; v.; to beget
edra; v.; to open
edrain; n.; border
edraith; n.; saving
edregol; adv.; in especial
edrein; n. (pl); border
edro; v.; imp. of edra-, open!
edwen; adj.; num. ord. second
egladhrim; n.; class pl. of eglan, "The Forsaken", Elves of the Falathrim
eglain; n. (pl); plural of and adj. 1. forsaken ○ 2. as a noun, an Elf of the Falathrim
eglan; n.; and adj. 1. forsaken ○ 2. as a noun, an Elf of the Falathrim
eglant; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
eglath; n.; coll. of egol, "The Forsaken", Elves of the Falathrim
egledh; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
egledhas; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
egledhi; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
egledhia; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
egledhio; inf. (pl); †edledhio *S. (egledhio N. , egledhi N. ) pa. t. †edledhas *S. (egledhas N. , eglant N.) v. to go into exile
egledhron; n. (pl); exile (person who is exiled)
eglenn; adj. (pl); exiled
egleria; v.; to glorify, to praise
eglerio; v.; imp. of egleria-, glorify! praise!
egnas; n.; 1. sharp point ○ 2. by ext., peak
ego; interj.; be off!
egol; n.; someone forsaken, an Elf of the Falathrim 
egor; conj.; or
egthel; n. (pl); point (of spear)
eilian; n. (pl); rainbow
eiliant; n.; rainbow
eilianw; n. (pl); rainbow
eilph; n. (pl); plural of swan
einior; adj.; elder
eirch; n. (pl); plural of Goblin, Orc
eirien; n.; daisy (flower)
eitha; v.; 1. to prick with a sharp point, to stab ○ 2. by ext., to treat with scorn, insult
eithad; ger.; of eitha-, insult
eithel; n.; issue of water, spring, well
eithil; n. (pl); plural of issue of water, spring, well
elanor; n.; a flower, a kind of enlarged pimpernel bearing golden and silver flowers
elei; n. (pl); plural of dream
elenath; n.; coll. of êl, starry host, all the host of the stars of heaven
elin; n. (pl); plural of Arch., star (little used except in verses)
elleth; n.; f. elf-maid
ellon; n.; m. elf
elloth; n.; sing. of loth, (single) flower
elo; interj.; an exclamation of wonder, admiration, delight
elu; adj.; (pale) blue
elvellon; n.; elf-friend
elvellyn; n. (pl); plural of elf-friend
elw; adj. (pl); (pale) blue
emel; n.; f. mother
emelin; n. (pl); yellow bird, "yellow hammer"
emig; n.; f. dim. of emel, 1. "litte mother" ○ 2. index finger (Elvish play-name used by and taught to children)
emil; n.; f. mother
emlin; n.; yellow bird, "yellow hammer"
emmel; n. (pl); f. mother
emmelin; n. (pl); yellow bird, "yellow hammer"
emuin; n. (pl); plural of hill, steep-sided mount
emyn; n. (pl); plural of hill, steep-sided mount
enchui; adj.; num. ord. sixth
encui; adj. (pl); num. ord. sixth
enecthui; adj.; num. ord. sixth
ened; n.; core, centre, middle
enedh; n. (pl); core, centre, middle
eneg; adj.; num. card. six
enegui; adj. (pl); num. ord. sixth
eneth; n.; name
enfeng; n. (pl); plural of one of the Longbeards (a tribe of Dwarves)
engrin; adj. (pl); plural of of iron
ennas; adv.; there, in that place
enni; pron.; 1st to me
ennin; n.; Valian year
ennor; n.; central land, middle-earth
ennorath; n.; coll. of ennor, central lands, middle-earth
ennyn; n. (pl); plural of augm. great door or gate
enyd; n. (pl); plural of Ent
ephedyn; n. (pl); plural of 1. follower ○ 2. by ext., man (elvish name for men)
ephel; n.; outer fence, encircling fence
er; adj.; single
erain; n. (pl); plural of king (used of a lord or king of a specified region)
erch; n.; prickle
ercha; inf.; ercho N. v. to prick
erchamion; adj.; one-handed
erchammon; n.; m. one-handed man
erchammui; adj.; one-handed
erchamon; n. (pl); m. one-handed man
erchamui; adj. (pl); one-handed
erchion; der. pl. of; orch 
ercho; inf. (pl); ercho N. v. to prick
ereb; adj.; isolated, lonely
ered; n. (pl); plural of mountain
eredh; n.; seed, germ
ereg; n.; holly-tree, thorn
